epoch,phase,loss,accuracy,timestamp
0,train,1.3047,0.6144,2025-05-31 04:23:54
0,validation,0.5620,0.8625,2025-05-31 04:24:04
1,train,0.9185,0.7424,2025-05-31 04:24:48
1,validation,0.4882,0.8750,2025-05-31 04:24:58
2,train,0.8896,0.7390,2025-05-31 04:25:41
2,validation,0.3903,0.9000,2025-05-31 04:25:51
3,train,0.8272,0.7616,2025-05-31 04:26:34
3,validation,0.3963,0.8875,2025-05-31 04:26:44
4,train,0.7949,0.7720,2025-05-31 04:27:28
4,validation,0.3815,0.8875,2025-05-31 04:27:37
5,train,0.7957,0.7729,2025-05-31 04:28:19
5,validation,0.3439,0.9000,2025-05-31 04:28:29
6,train,0.7611,0.7760,2025-05-31 04:29:10
6,validation,0.3519,0.8875,2025-05-31 04:29:20
7,train,0.7655,0.7751,2025-05-31 04:30:01
7,validation,0.3790,0.8500,2025-05-31 04:30:11
0,train,0.7204,0.7941,2025-05-31 04:31:00
0,validation,0.3074,0.9250,2025-05-31 04:31:10
1,train,0.6232,0.8254,2025-05-31 04:31:59
1,validation,0.2877,0.9375,2025-05-31 04:32:08
2,train,0.5763,0.8525,2025-05-31 04:32:57
2,validation,0.2508,0.9500,2025-05-31 04:33:07
3,train,0.5366,0.8675,2025-05-31 04:33:56
3,validation,0.2448,0.9375,2025-05-31 04:34:05
4,train,0.4872,0.8819,2025-05-31 04:34:51
4,validation,0.2380,0.9375,2025-05-31 04:35:01
5,train,0.4490,0.8960,2025-05-31 04:35:47
5,validation,0.2252,0.9625,2025-05-31 04:35:56
6,train,0.4152,0.9068,2025-05-31 04:36:43
6,validation,0.2222,0.9625,2025-05-31 04:36:53
7,train,0.4116,0.9093,2025-05-31 04:37:39
7,validation,0.2315,0.9625,2025-05-31 04:37:48
8,train,0.3919,0.9164,2025-05-31 04:38:35
8,validation,0.2049,0.9625,2025-05-31 04:38:44
9,train,0.3656,0.9243,2025-05-31 04:39:30
9,validation,0.2087,0.9625,2025-05-31 04:39:40
10,train,0.3825,0.9189,2025-05-31 04:40:26
10,validation,0.1841,0.9625,2025-05-31 04:40:35
11,train,0.3292,0.9381,2025-05-31 04:41:21
11,validation,0.1863,0.9625,2025-05-31 04:41:31
12,train,0.3263,0.9393,2025-05-31 04:42:16
12,validation,0.1769,0.9625,2025-05-31 04:42:26
