epoch,phase,loss,accuracy
0,train,1.2731,0.6246,2025-05-30 17:17:27
0,validation,0.5865,0.7500,2025-05-30 17:17:36
1,train,1.0105,0.7099,2025-05-30 17:18:18
1,validation,0.4731,0.8500,2025-05-30 17:18:28
2,train,0.9575,0.7189,2025-05-30 17:19:11
2,validation,0.5081,0.8125,2025-05-30 17:19:21
3,train,0.8911,0.7381,2025-05-30 17:20:05
3,validation,0.3983,0.8875,2025-05-30 17:20:15
4,train,0.9181,0.7395,2025-05-30 17:20:57
4,validation,0.4246,0.9125,2025-05-30 17:21:06
5,train,0.8764,0.7469,2025-05-30 17:21:48
5,validation,0.4195,0.8750,2025-05-30 17:21:57
6,train,0.8482,0.7638,2025-05-30 17:22:38
6,validation,0.4252,0.8750,2025-05-30 17:22:48
7,train,0.8662,0.7528,2025-05-30 17:23:30
7,validation,0.4313,0.8750,2025-05-30 17:23:40
8,train,0.8083,0.7675,2025-05-30 17:24:21
8,validation,0.4160,0.8750,2025-05-30 17:24:30
9,train,0.8331,0.7582,2025-05-30 17:25:11
9,validation,0.4277,0.8500,2025-05-30 17:25:21
0,train,0.7364,0.7955,2025-05-30 17:30:08
0,validation,0.3375,0.9000,2025-05-30 17:30:18
1,train,0.5978,0.8384,2025-05-30 17:35:06
1,validation,0.2933,0.9250,2025-05-30 17:35:15
2,train,0.5623,0.8424,2025-05-30 17:39:46
2,validation,0.2819,0.9250,2025-05-30 17:39:56
3,train,0.5142,0.8669,2025-05-30 17:44:24
3,validation,0.2747,0.9375,2025-05-30 17:44:33
4,train,0.4747,0.8819,2025-05-30 17:49:42
4,validation,0.2617,0.9250,2025-05-30 17:49:51
5,train,0.4380,0.8839,2025-05-30 17:54:59
5,validation,0.2626,0.9250,2025-05-30 17:55:09
6,train,0.4002,0.9006,2025-05-30 18:00:19
6,validation,0.2342,0.9250,2025-05-30 18:00:29
7,train,0.3782,0.9034,2025-05-30 18:05:39
7,validation,0.2320,0.9375,2025-05-30 18:05:48
8,train,0.3672,0.9113,2025-05-30 18:11:00
8,validation,0.2067,0.9500,2025-05-30 18:11:09
9,train,0.3657,0.9093,2025-05-30 18:15:41
9,validation,0.1860,0.9500,2025-05-30 18:15:50
