epoch,phase,loss,accuracy,timestamp
0,train,1.3675,0.5890,2025-05-31 02:10:37
0,validation,0.5863,0.8375,2025-05-31 02:10:47
1,train,1.0348,0.7054,2025-05-31 02:11:31
1,validation,0.5294,0.8375,2025-05-31 02:11:40
2,train,0.9624,0.7254,2025-05-31 02:12:23
2,validation,0.4528,0.8625,2025-05-31 02:12:33
3,train,0.9088,0.7449,2025-05-31 02:13:15
3,validation,0.5185,0.8250,2025-05-31 02:13:25
4,train,0.9058,0.7458,2025-05-31 02:14:07
4,validation,0.5239,0.8375,2025-05-31 02:14:17
5,train,0.9156,0.7350,2025-05-31 02:14:58
5,validation,0.4430,0.8625,2025-05-31 02:15:08
6,train,0.8633,0.7514,2025-05-31 02:15:50
6,validation,0.4679,0.8250,2025-05-31 02:16:00
7,train,0.8704,0.7579,2025-05-31 02:16:41
7,validation,0.4349,0.8875,2025-05-31 02:16:51
8,train,0.8399,0.7641,2025-05-31 02:17:35
8,validation,0.4500,0.8875,2025-05-31 02:17:44
9,train,0.8544,0.7556,2025-05-31 02:18:28
9,validation,0.4291,0.8750,2025-05-31 02:18:38
10,train,0.8540,0.7534,2025-05-31 02:19:19
10,validation,0.4418,0.8750,2025-05-31 02:19:29
11,train,0.8383,0.7607,2025-05-31 02:20:10
11,validation,0.4405,0.8625,2025-05-31 02:20:19
12,train,0.8771,0.7486,2025-05-31 02:21:01
12,validation,0.4537,0.8750,2025-05-31 02:21:10
0,train,0.7948,0.7709,2025-05-31 02:21:57
0,validation,0.3557,0.9125,2025-05-31 02:22:06
1,train,0.7053,0.8037,2025-05-31 02:22:53
1,validation,0.3330,0.9250,2025-05-31 02:23:02
2,train,0.6531,0.8288,2025-05-31 02:23:48
2,validation,0.3279,0.9000,2025-05-31 02:23:58
3,train,0.6531,0.8240,2025-05-31 02:24:44
3,validation,0.2982,0.9125,2025-05-31 02:24:53
4,train,0.5906,0.8565,2025-05-31 02:25:39
4,validation,0.2860,0.9250,2025-05-31 02:25:49
5,train,0.6154,0.8398,2025-05-31 02:26:35
5,validation,0.2769,0.9125,2025-05-31 02:26:44
6,train,0.5776,0.8573,2025-05-31 02:27:31
6,validation,0.2773,0.9375,2025-05-31 02:27:40
7,train,0.5626,0.8621,2025-05-31 02:28:26
7,validation,0.2577,0.9250,2025-05-31 02:28:36
8,train,0.5465,0.8599,2025-05-31 02:29:22
8,validation,0.2489,0.9375,2025-05-31 02:29:31
9,train,0.5471,0.8658,2025-05-31 02:30:18
9,validation,0.2326,0.9375,2025-05-31 02:30:27
10,train,0.5225,0.8734,2025-05-31 02:31:13
10,validation,0.2462,0.9375,2025-05-31 02:31:23
11,train,0.5011,0.8811,2025-05-31 02:32:09
11,validation,0.2338,0.9250,2025-05-31 02:32:19
12,train,0.4940,0.8862,2025-05-31 02:33:05
12,validation,0.2250,0.9375,2025-05-31 02:33:15
13,train,0.4837,0.8904,2025-05-31 02:34:01
13,validation,0.2202,0.9375,2025-05-31 02:34:10
